run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,59,0.431591,0.324261,28467
0,NSGA-II,12,0.763652,0.573743,19763
0,NSGA-III,11,1.004048,0.754356,19974
1,MOGWO,61,1.170450,0.879376,26754
1,NSGA-II,10,1.226431,0.921436,18859
1,NSGA-III,39,0.609362,0.457822,20734
2,MOGWO,26,0.801033,0.601828,28224
2,NSGA-II,6,0.500579,0.376093,19700
2,NSGA-III,13,1.260525,0.947051,20139
3,MOGWO,28,0.885437,0.665242,27008
3,NSGA-II,17,0.754367,0.566767,19134
3,NSGA-III,26,0.472555,0.355038,19961
4,MOGWO,79,0.245513,0.184457,29521
4,NSGA-II,7,1.083684,0.814188,19055
4,NSGA-III,7,1.321752,0.993052,19654
5,MOGWO,4,1.330926,0.999945,26468
5,NSGA-II,29,0.432784,0.325157,19885
5,NSGA-III,38,0.483606,0.363340,20694
6,MOGWO,8,1.327182,0.997132,27598
6,NSGA-II,38,0.432108,0.324649,19579
6,NSGA-III,6,0.830763,0.624164,20106
7,MOGWO,64,0.965511,0.725403,26720
7,NSGA-II,19,0.510551,0.383585,19407
7,NSGA-III,19,0.474704,0.356653,19923
8,MOGWO,14,1.329426,0.998818,25750
8,NSGA-II,16,0.481684,0.361896,19587
8,NSGA-III,13,0.516574,0.388110,20237
9,MOGWO,31,0.371702,0.279265,28953
9,NSGA-II,27,1.022470,0.768197,19519
9,NSGA-III,22,0.972153,0.730393,20146
