run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,9,0.356934,0.268170,111651
0,NSGA-II,28,0.715717,0.537729,75496
0,NSGA-III,19,0.837268,0.629052,75914
1,MOGWO,41,1.296533,0.974105,104858
1,NSGA-II,8,0.979783,0.736125,73659
1,NSGA-III,42,0.563505,0.423370,79048
2,MOGWO,4,1.262925,0.948854,105376
2,NSGA-II,44,0.499382,0.375193,75465
2,NSGA-III,5,1.035536,0.778013,76871
3,MOGWO,104,0.262584,0.197283,122090
3,NSGA-II,16,1.051689,0.790149,74814
3,NSGA-III,22,1.131717,0.850276,76355
4,MOGWO,21,1.302808,0.978819,102333
4,NSGA-II,7,0.179412,0.134795,74039
4,NSGA-III,8,0.531483,0.399311,75106
5,MOGWO,197,0.426467,0.320411,114448
5,NSGA-II,34,1.042857,0.783514,75535
5,NSGA-III,27,0.998094,0.749883,79084
6,MOGWO,3,1.330981,0.999986,101770
6,NSGA-II,29,0.414030,0.311067,75622
6,NSGA-III,39,0.471761,0.354441,78522
7,MOGWO,3,1.330960,0.999970,103756
7,NSGA-II,32,0.394852,0.296658,74465
7,NSGA-III,36,0.436737,0.328127,76877
8,MOGWO,4,1.330883,0.999912,102142
8,NSGA-II,31,0.380307,0.285730,75949
8,NSGA-III,32,0.454697,0.341620,78963
9,MOGWO,42,1.106712,0.831489,105120
9,NSGA-II,23,0.536509,0.403087,76235
9,NSGA-III,47,0.492219,0.369811,78037
