run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,32,1.322045,0.993272,51845
0,NSGA-II,20,0.403956,0.303498,38801
0,NSGA-III,26,0.617682,0.464073,38757
1,MOGWO,11,1.329479,0.998858,53581
1,NSGA-II,5,0.769717,0.578300,38164
1,NSGA-III,26,0.369170,0.277363,41678
2,MOGWO,35,0.870579,0.654079,55873
2,NSGA-II,15,0.369527,0.277631,38234
2,NSGA-III,5,1.316998,0.989480,38848
3,MOGWO,4,1.329614,0.998959,52236
3,NSGA-II,27,0.380946,0.286211,37592
3,NSGA-III,19,0.389774,0.292843,38830
4,MOGWO,15,1.266188,0.951306,51975
4,NSGA-II,9,0.118952,0.089370,37325
4,NSGA-III,3,0.889146,0.668029,39679
5,MOGWO,4,1.311577,0.985407,52423
5,NSGA-II,31,0.582197,0.437413,38343
5,NSGA-III,32,0.686632,0.515877,40143
6,MOGWO,6,1.329502,0.998874,50132
6,NSGA-II,39,0.349404,0.262512,38323
6,NSGA-III,9,0.540093,0.405780,39217
7,MOGWO,3,1.330845,0.999883,52274
7,NSGA-II,19,0.554813,0.416839,38174
7,NSGA-III,20,0.498063,0.374202,39222
8,MOGWO,141,0.239362,0.179836,60515
8,NSGA-II,15,1.154945,0.867727,38214
8,NSGA-III,12,1.171333,0.880040,39452
9,MOGWO,7,0.169812,0.127583,57285
9,NSGA-II,30,0.604873,0.454450,37993
9,NSGA-III,24,0.616086,0.462874,39322
