run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,MOGWO,2,23,0.025773,0.019364
0,MOGWO,4,30,0.035602,0.026748
0,MOGWO,6,29,0.036287,0.027263
0,MOGWO,8,34,0.036924,0.027742
0,MOGWO,10,34,0.040006,0.030057
0,MOGWO,12,34,0.043645,0.032791
0,MOGWO,14,39,0.050687,0.038082
0,MOGWO,16,37,0.050695,0.038088
0,MOGWO,18,35,0.051844,0.038951
0,MOGWO,20,20,0.062985,0.047322
0,MOGWO,22,23,0.075646,0.056834
0,MOGWO,24,37,0.078315,0.058839
0,MOGWO,26,30,0.080425,0.060424
0,MOGWO,28,22,0.087850,0.066003
0,MOGWO,30,27,0.087966,0.066090
0,MOGWO,32,29,0.089396,0.067165
0,MOGWO,34,30,0.094514,0.071010
0,MOGWO,36,35,0.095404,0.071679
0,MOGWO,38,41,0.095682,0.071888
0,MOGWO,40,46,0.095811,0.071984
0,MOGWO,42,50,0.096261,0.072323
0,MOGWO,44,55,0.105512,0.079273
0,MOGWO,46,67,0.107948,0.081103
0,MOGWO,48,63,0.109158,0.082012
0,MOGWO,50,60,0.111022,0.083412
0,MOGWO,52,60,0.115101,0.086477
0,MOGWO,54,67,0.118316,0.088892
0,MOGWO,56,54,0.118918,0.089345
0,MOGWO,58,53,0.119849,0.090044
0,MOGWO,60,55,0.120065,0.090206
0,MOGWO,62,64,0.134524,0.101070
0,MOGWO,64,73,0.135449,0.101765
0,MOGWO,66,66,0.136146,0.102289
0,MOGWO,68,64,0.136600,0.102630
0,MOGWO,70,64,0.141306,0.106166
0,MOGWO,72,70,0.141537,0.106339
0,MOGWO,74,78,0.142211,0.106845
0,MOGWO,76,85,0.142322,0.106928
0,MOGWO,78,84,0.142591,0.107131
0,MOGWO,80,78,0.142988,0.107429
0,MOGWO,82,85,0.143811,0.108047
0,MOGWO,84,82,0.144075,0.108246
0,MOGWO,86,85,0.144195,0.108336
0,MOGWO,88,86,0.144195,0.108336
0,MOGWO,90,88,0.144947,0.108901
0,MOGWO,92,71,0.145926,0.109637
0,MOGWO,94,79,0.146214,0.109853
0,MOGWO,96,84,0.146541,0.110098
0,MOGWO,98,84,0.146724,0.110236
0,MOGWO,100,84,0.146724,0.110236
0,NSGA-II,2,20,0.031617,0.023754
0,NSGA-II,4,28,0.039612,0.029761
0,NSGA-II,6,27,0.058883,0.044240
0,NSGA-II,8,29,0.065425,0.049154
0,NSGA-II,10,34,0.068642,0.051572
0,NSGA-II,12,38,0.071652,0.053833
0,NSGA-II,14,43,0.075958,0.057068
0,NSGA-II,16,39,0.079127,0.059449
0,NSGA-II,18,36,0.080723,0.060649
0,NSGA-II,20,43,0.091684,0.068883
0,NSGA-II,22,53,0.095860,0.072021
0,NSGA-II,24,48,0.098170,0.073757
