run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,84,0.146724,0.110236,6299
0,NSGA-II,36,0.691684,0.519672,4227
0,NSGA-III,16,1.053600,0.791585,4370
1,MOGWO,96,0.128861,0.096815,6137
1,NSGA-II,9,1.186298,0.891283,4188
1,NSGA-III,26,0.889716,0.668457,4336
2,MOGWO,54,0.160850,0.120849,5994
2,NSGA-II,4,0.875659,0.657896,4180
2,NSGA-III,8,0.776105,0.583099,4338
3,MOGWO,45,0.180122,0.135328,6073
3,NSGA-II,25,0.869913,0.653579,4177
3,NSGA-III,16,0.870803,0.654247,4305
4,MOGWO,90,0.180821,0.135853,6088
4,NSGA-II,14,0.918729,0.690255,4143
4,NSGA-III,3,1.184152,0.889671,4304
5,MOGWO,10,1.068586,0.802845,5849
5,NSGA-II,31,0.575468,0.432358,4166
5,NSGA-III,16,0.723685,0.543716,4321
6,MOGWO,52,0.359850,0.270360,6058
6,NSGA-II,28,0.995432,0.747883,4153
6,NSGA-III,31,0.625220,0.469737,4341
7,MOGWO,36,0.960624,0.721731,5790
7,NSGA-II,22,0.719150,0.540308,4128
7,NSGA-III,15,0.449499,0.337715,4334
8,MOGWO,48,0.383147,0.287864,6191
8,NSGA-II,21,0.800439,0.601382,4175
8,NSGA-III,17,0.976686,0.733799,4315
9,MOGWO,49,0.187777,0.141080,5960
9,NSGA-II,20,0.803070,0.603358,4181
9,NSGA-III,25,1.167095,0.876856,4345
