run,algorithm,makespan,energy,radar_risk
0,MOGWO,412.000000,638.326757,1916.814856
0,MOGWO,415.000000,652.312463,930.587803
0,MOGWO,424.000000,563.837125,0.000000
0,MOGWO,421.000000,560.709893,153.990688
0,MOGWO,418.000000,572.774061,0.000000
0,MOGWO,421.000000,569.637370,0.000000
0,MOGWO,415.000000,645.699568,1249.697102
0,MOGWO,421.000000,556.713726,463.743261
0,MOGWO,415.000000,648.519044,1093.615037
0,NSGA-II,927.000000,368.102509,0.000000
0,NSGA-II,923.000000,440.830996,0.000000
0,NSGA-II,922.000000,470.680238,0.000000
0,NSGA-II,918.000000,514.704896,0.000000
0,NSGA-II,203.000000,527.656744,0.000000
0,NSGA-II,921.000000,478.969909,153.838772
0,NSGA-II,926.000000,422.778312,154.535147
0,NSGA-II,926.000000,407.295101,464.104372
0,NSGA-II,209.000000,524.855795,619.227309
0,NSGA-II,925.000000,436.792681,621.707670
0,NSGA-II,922.000000,467.402804,772.667030
0,NSGA-II,922.000000,453.703539,773.720370
0,NSGA-II,920.000000,504.124841,778.467333
0,NSGA-II,926.000000,403.339012,781.725022
0,NSGA-II,926.000000,386.841922,798.099055
0,NSGA-II,928.000000,355.435450,924.759587
0,NSGA-II,925.000000,408.258565,926.908897
0,NSGA-II,920.000000,476.611954,932.880038
0,NSGA-II,920.000000,444.025743,1010.916401
0,NSGA-II,924.000000,425.150625,1244.315622
0,NSGA-II,924.000000,422.364042,1253.831526
0,NSGA-II,251.000000,507.888144,1736.018144
0,NSGA-II,242.000000,509.665191,1880.470982
0,NSGA-II,921.000000,442.006495,2029.717131
0,NSGA-II,928.000000,353.875367,2174.669784
0,NSGA-II,927.000000,352.373740,2642.127090
0,NSGA-II,923.000000,424.984940,2941.275299
0,NSGA-II,928.000000,349.866463,2973.926288
0,NSGA-III,192.000000,504.394664,781.856927
0,NSGA-III,927.000000,395.712018,0.000000
0,NSGA-III,213.000000,500.302437,154.365451
0,NSGA-III,196.000000,509.108650,622.168630
0,NSGA-III,926.000000,405.412270,0.000000
0,NSGA-III,922.000000,422.805314,154.372540
0,NSGA-III,922.000000,464.065000,0.000000
0,NSGA-III,198.000000,485.316936,927.572469
0,NSGA-III,920.000000,469.684255,5068.920309
0,NSGA-III,925.000000,408.482267,0.000000
0,NSGA-III,201.000000,505.059044,466.043325
0,NSGA-III,179.000000,477.877502,933.255786
0,NSGA-III,196.000000,509.250215,0.000000
0,NSGA-III,217.000000,505.243794,0.000000
0,NSGA-III,923.000000,395.337343,774.363765
0,NSGA-III,921.000000,491.354850,0.000000
0,NSGA-III,208.000000,493.843153,308.736338
0,NSGA-III,920.000000,471.530342,2746.228472
0,NSGA-III,921.000000,442.538428,466.282233
1,MOGWO,329.000000,363.782941,154.450378
1,MOGWO,332.000000,352.042154,154.531038
1,MOGWO,338.000000,353.568391,0.000000
1,MOGWO,332.000000,346.110072,788.598544
1,MOGWO,335.000000,345.780100,785.143106
1,MOGWO,344.000000,349.981379,154.224757
1,MOGWO,221.000000,377.312567,0.000000
1,MOGWO,323.000000,346.800187,1577.133227
