run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,MOGWO,40,34,0.000000,0.000000
0,MOGWO,80,44,0.000000,0.000000
0,MOGWO,120,52,0.000000,0.000000
0,MOGWO,160,48,0.000000,0.000000
0,MOGWO,200,53,0.000000,0.000000
0,MOGWO,240,64,0.000000,0.000000
0,MOGWO,280,58,0.000000,0.000000
0,MOGWO,320,58,0.000000,0.000000
0,MOGWO,360,60,0.000000,0.000000
0,MOGWO,400,66,0.000000,0.000000
0,MOGWO,440,69,0.000000,0.000000
0,MOGWO,480,43,0.000000,0.000000
0,MOGWO,520,47,0.000000,0.000000
0,MOGWO,560,41,0.000000,0.000000
0,MOGWO,600,20,0.000000,0.000000
0,MOGWO,640,27,0.000000,0.000000
0,MOGWO,680,28,0.000000,0.000000
0,MOGWO,720,12,0.000000,0.000000
0,MOGWO,760,10,0.000000,0.000000
0,MOGWO,800,5,0.000000,0.000000
0,MOGWO,840,4,0.000000,0.000000
0,MOGWO,880,7,0.000000,0.000000
0,MOGWO,920,5,0.024146,0.018141
0,MOGWO,960,8,0.024146,0.018141
0,MOGWO,1000,15,0.078230,0.058775
0,MOGWO,1040,14,0.079962,0.060077
0,MOGWO,1080,18,0.080005,0.060109
0,MOGWO,1120,16,0.095348,0.071636
0,MOGWO,1160,19,0.107794,0.080988
0,MOGWO,1200,26,0.130731,0.098220
0,MOGWO,1240,25,0.136305,0.102408
0,MOGWO,1280,24,0.150753,0.113263
0,MOGWO,1320,33,0.169549,0.127385
0,MOGWO,1360,17,0.212308,0.159510
0,MOGWO,1400,16,0.213870,0.160683
0,MOGWO,1440,21,0.218089,0.163853
0,MOGWO,1480,19,0.219589,0.164981
0,MOGWO,1520,20,0.221967,0.166767
0,MOGWO,1560,12,0.233252,0.175246
0,MOGWO,1600,10,0.281579,0.211555
0,MOGWO,1640,12,0.282489,0.212238
0,MOGWO,1680,9,0.293286,0.220350
0,MOGWO,1720,6,0.325614,0.244639
0,MOGWO,1760,5,0.331627,0.249156
0,MOGWO,1800,10,0.337895,0.253866
0,MOGWO,1840,7,0.346580,0.260391
0,MOGWO,1880,8,0.356932,0.268169
0,MOGWO,1920,8,0.356932,0.268169
0,MOGWO,1960,9,0.356934,0.268170
0,MOGWO,2000,9,0.356934,0.268170
0,NSGA-II,40,35,0.000000,0.000000
0,NSGA-II,80,32,0.000000,0.000000
0,NSGA-II,120,42,0.000000,0.000000
0,NSGA-II,160,6,0.000000,0.000000
0,NSGA-II,200,7,0.000000,0.000000
0,NSGA-II,240,10,0.000000,0.000000
0,NSGA-II,280,15,0.000000,0.000000
0,NSGA-II,320,14,0.000000,0.000000
0,NSGA-II,360,2,0.000000,0.000000
0,NSGA-II,400,4,0.000000,0.000000
0,NSGA-II,440,7,0.000000,0.000000
0,NSGA-II,480,10,0.000000,0.000000
0,NSGA-II,520,16,0.000000,0.000000
0,NSGA-II,560,18,0.000712,0.000535
0,NSGA-II,600,16,0.006401,0.004809
0,NSGA-II,640,21,0.034741,0.026102
0,NSGA-II,680,13,0.059020,0.044343
0,NSGA-II,720,20,0.155014,0.116464
0,NSGA-II,760,21,0.161489,0.121329
0,NSGA-II,800,28,0.171079,0.128534
0,NSGA-II,840,22,0.190985,0.143490
0,NSGA-II,880,23,0.228269,0.171502
0,NSGA-II,920,30,0.231914,0.174241
0,NSGA-II,960,31,0.251689,0.189097
0,NSGA-II,1000,20,0.302881,0.227559
0,NSGA-II,1040,27,0.304981,0.229137
0,NSGA-II,1080,13,0.505949,0.380127
0,NSGA-II,1120,14,0.516137,0.387782
0,NSGA-II,1160,19,0.538766,0.404783
0,NSGA-II,1200,24,0.545075,0.409523
0,NSGA-II,1240,26,0.547567,0.411395
0,NSGA-II,1280,24,0.550565,0.413648
0,NSGA-II,1320,23,0.550733,0.413774
0,NSGA-II,1360,25,0.555568,0.417407
0,NSGA-II,1400,24,0.641673,0.482099
0,NSGA-II,1440,24,0.642260,0.482539
0,NSGA-II,1480,26,0.642665,0.482844
0,NSGA-II,1520,26,0.642665,0.482844
0,NSGA-II,1560,29,0.668853,0.502519
0,NSGA-II,1600,30,0.676987,0.508630
0,NSGA-II,1640,29,0.677597,0.509088
0,NSGA-II,1680,29,0.677720,0.509181
0,NSGA-II,1720,31,0.678987,0.510133
0,NSGA-II,1760,25,0.709858,0.533327
0,NSGA-II,1800,28,0.710579,0.533869
0,NSGA-II,1840,26,0.710856,0.534077
0,NSGA-II,1880,28,0.710905,0.534114
0,NSGA-II,1920,24,0.713380,0.535973
0,NSGA-II,1960,27,0.713474,0.536043
0,NSGA-II,2000,28,0.715717,0.537729
0,NSGA-III,40,26,0.000000,0.000000
0,NSGA-III,80,31,0.000000,0.000000
0,NSGA-III,120,13,0.000000,0.000000
0,NSGA-III,160,5,0.000000,0.000000
0,NSGA-III,200,18,0.000000,0.000000
0,NSGA-III,240,21,0.025331,0.019031
0,NSGA-III,280,14,0.025331,0.019031
0,NSGA-III,320,15,0.134328,0.100923
0,NSGA-III,360,13,0.134485,0.101040
