run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,66,0.151114,0.113534,1375
0,NSGA-II,45,0.181208,0.136144,739
0,NSGA-III,16,1.251545,0.940304,738
1,MOGWO,61,0.178523,0.134127,1243
1,NSGA-II,30,0.579944,0.435721,703
1,NSGA-III,34,0.946778,0.711329,707
2,MOGWO,42,0.161858,0.121606,1262
2,NSGA-II,39,0.230215,0.172964,702
2,NSGA-III,10,1.252316,0.940884,701
3,MOGWO,53,0.184669,0.138744,1280
3,NSGA-II,37,0.196888,0.147925,701
3,NSGA-III,26,0.781382,0.587064,710
4,MOGWO,43,0.445313,0.334571,1245
4,NSGA-II,26,0.598267,0.449487,694
4,NSGA-III,40,0.600991,0.451534,717
5,MOGWO,33,0.201499,0.151389,1222
5,NSGA-II,48,0.309028,0.232177,710
5,NSGA-III,24,0.818097,0.614648,697
6,MOGWO,34,0.160515,0.120597,1282
6,NSGA-II,21,1.032807,0.775963,700
6,NSGA-III,30,0.584645,0.439253,712
7,MOGWO,16,0.201545,0.151424,1204
7,NSGA-II,35,0.567638,0.426475,709
7,NSGA-III,44,0.587853,0.441662,704
8,MOGWO,48,0.137587,0.103371,1245
8,NSGA-II,16,0.773999,0.581517,706
8,NSGA-III,8,0.987889,0.742215,717
9,MOGWO,13,0.177115,0.133069,1208
9,NSGA-II,32,0.236585,0.177750,701
9,NSGA-III,35,0.850576,0.639050,708
