run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,MOGWO,100,32,0.000000,0.000000
0,MOGWO,200,50,0.000000,0.000000
0,MOGWO,300,44,0.000000,0.000000
0,MOGWO,400,55,0.000000,0.000000
0,MOGWO,500,49,0.000000,0.000000
0,MOGWO,600,52,0.000000,0.000000
0,MOGWO,700,44,0.000000,0.000000
0,MOGWO,800,40,0.000000,0.000000
0,MOGWO,900,43,0.000000,0.000000
0,MOGWO,1000,58,0.000000,0.000000
0,MOGWO,1100,68,0.000000,0.000000
0,MOGWO,1200,52,0.000000,0.000000
0,MOGWO,1300,51,0.000000,0.000000
0,MOGWO,1400,47,0.000000,0.000000
0,MOGWO,1500,51,0.000000,0.000000
0,MOGWO,1600,47,0.001470,0.001104
0,MOGWO,1700,47,0.001742,0.001308
0,MOGWO,1800,37,0.008597,0.006459
0,MOGWO,1900,35,0.029305,0.022018
0,MOGWO,2000,36,0.045780,0.034396
0,MOGWO,2100,36,0.094058,0.070667
0,MOGWO,2200,55,0.128387,0.096459
0,MOGWO,2300,59,0.151956,0.114166
0,MOGWO,2400,73,0.164666,0.123716
0,MOGWO,2500,70,0.210127,0.157872
0,MOGWO,2600,100,0.214221,0.160947
0,MOGWO,2700,100,0.237061,0.178107
0,MOGWO,2800,100,0.256827,0.192958
0,MOGWO,2900,86,0.288208,0.216535
0,MOGWO,3000,99,0.291928,0.219330
0,MOGWO,3100,100,0.294230,0.221059
0,MOGWO,3200,95,0.311142,0.233766
0,MOGWO,3300,99,0.311737,0.234212
0,MOGWO,3400,84,0.321772,0.241752
0,MOGWO,3500,90,0.328675,0.246938
0,MOGWO,3600,95,0.333803,0.250791
0,MOGWO,3700,76,0.337675,0.253700
0,MOGWO,3800,84,0.339058,0.254739
0,MOGWO,3900,95,0.340333,0.255697
0,MOGWO,4000,99,0.352892,0.265133
0,MOGWO,4100,100,0.357848,0.268856
0,MOGWO,4200,98,0.358894,0.269642
0,MOGWO,4300,98,0.363718,0.273267
0,MOGWO,4400,100,0.368820,0.277100
0,MOGWO,4500,100,0.366075,0.275038
0,MOGWO,4600,100,0.365075,0.274286
0,MOGWO,4700,100,0.366303,0.275209
0,MOGWO,4800,100,0.370789,0.278580
0,MOGWO,4900,99,0.373193,0.280386
0,MOGWO,5000,100,0.373204,0.280394
0,NSGA-II,100,45,0.002015,0.001514
0,NSGA-II,200,21,0.018682,0.014036
0,NSGA-II,300,12,0.199112,0.149596
0,NSGA-II,400,5,0.415800,0.312397
0,NSGA-II,500,9,0.465202,0.349513
0,NSGA-II,600,13,0.568272,0.426951
0,NSGA-II,700,16,0.599198,0.450186
0,NSGA-II,800,20,0.619602,0.465516
0,NSGA-II,900,23,0.632789,0.475424
0,NSGA-II,1000,27,0.637505,0.478967
0,NSGA-II,1100,22,0.710011,0.533442
0,NSGA-II,1200,21,0.723474,0.543557
0,NSGA-II,1300,14,0.738774,0.555052
0,NSGA-II,1400,16,0.789178,0.592921
0,NSGA-II,1500,19,0.789788,0.593379
0,NSGA-II,1600,24,0.792076,0.595099
0,NSGA-II,1700,25,0.792639,0.595521
0,NSGA-II,1800,23,0.796578,0.598481
0,NSGA-II,1900,18,0.809338,0.608067
0,NSGA-II,2000,23,0.809453,0.608154
0,NSGA-II,2100,21,0.809629,0.608286
0,NSGA-II,2200,25,0.809904,0.608493
0,NSGA-II,2300,28,0.809910,0.608497
0,NSGA-II,2400,35,0.811313,0.609551
0,NSGA-II,2500,35,0.812398,0.610367
0,NSGA-II,2600,40,0.819395,0.615624
0,NSGA-II,2700,42,0.819563,0.615750
