run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,100,0.373204,0.280394,58598
0,NSGA-II,60,0.976047,0.733319,31214
0,NSGA-III,10,1.127245,0.846916,29636
1,MOGWO,100,0.315951,0.237378,59080
1,NSGA-II,27,0.985606,0.740500,31522
1,NSGA-III,3,1.100165,0.826570,30371
2,MOGWO,6,1.328712,0.998281,52868
2,NSGA-II,18,0.350212,0.263120,31585
2,NSGA-III,14,0.470925,0.353813,30177
3,MOGWO,21,1.050402,0.789183,52076
3,NSGA-II,25,0.501930,0.377108,31721
3,NSGA-III,9,0.993391,0.746349,30528
4,MOGWO,11,1.319988,0.991726,52050
4,NSGA-II,11,0.154208,0.115859,30682
4,NSGA-III,15,0.279287,0.209832,30012
5,MOGWO,4,1.330820,0.999865,52586
5,NSGA-II,40,0.365805,0.274835,32047
5,NSGA-III,3,1.024699,0.769872,30468
6,MOGWO,30,1.085753,0.815742,53613
6,NSGA-II,34,0.769328,0.578007,30413
6,NSGA-III,27,0.768132,0.577109,31098
7,MOGWO,3,1.330848,0.999886,51963
7,NSGA-II,10,0.536147,0.402816,30312
7,NSGA-III,38,0.413571,0.310722,31383
8,MOGWO,96,0.331141,0.248791,60000
8,NSGA-II,40,0.959751,0.721075,31533
8,NSGA-III,9,1.177288,0.884514,30584
9,MOGWO,2,1.330591,0.999693,50646
9,NSGA-II,17,0.601855,0.452182,31273
9,NSGA-III,45,0.389950,0.292975,32047
