run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,NSGA-III,840,7,0.664808,0.499480
0,NSGA-III,880,6,0.665381,0.499911
0,NSGA-III,920,6,0.665381,0.499911
0,NSGA-III,960,6,0.715541,0.537597
0,NSGA-III,1000,6,0.720096,0.541019
0,NSGA-III,1040,7,0.720129,0.541043
0,NSGA-III,1080,8,0.720308,0.541178
0,NSGA-III,1120,8,0.720308,0.541178
0,NSGA-III,1160,8,0.720308,0.541178
0,NSGA-III,1200,1,0.735876,0.552874
0,NSGA-III,1240,1,0.735876,0.552874
0,NSGA-III,1280,1,0.735876,0.552874
0,NSGA-III,1320,3,0.778487,0.584889
0,NSGA-III,1360,3,0.778487,0.584889
0,NSGA-III,1400,3,0.782167,0.587654
0,NSGA-III,1440,3,0.782167,0.587654
0,NSGA-III,1480,4,0.782425,0.587848
0,NSGA-III,1520,4,0.782425,0.587848
0,NSGA-III,1560,4,0.782425,0.587848
0,NSGA-III,1600,5,0.784761,0.589602
0,NSGA-III,1640,5,0.786136,0.590636
0,NSGA-III,1680,5,0.786136,0.590636
0,NSGA-III,1720,7,0.811179,0.609451
0,NSGA-III,1760,8,0.812578,0.610502
0,NSGA-III,1800,8,0.812578,0.610502
0,NSGA-III,1840,10,0.812601,0.610519
0,NSGA-III,1880,10,0.816299,0.613298
0,NSGA-III,1920,4,0.826762,0.621159
0,NSGA-III,1960,4,0.826762,0.621159
0,NSGA-III,2000,4,0.826762,0.621159
1,MOGWO,40,26,0.000000,0.000000
1,MOGWO,80,35,0.000000,0.000000
1,MOGWO,120,41,0.000000,0.000000
1,MOGWO,160,36,0.000000,0.000000
1,MOGWO,200,37,0.000000,0.000000
1,MOGWO,240,37,0.000000,0.000000
1,MOGWO,280,40,0.000000,0.000000
1,MOGWO,320,22,0.006669,0.005010
1,MOGWO,360,27,0.011420,0.008580
1,MOGWO,400,28,0.012332,0.009265
1,MOGWO,440,38,0.018470,0.013877
1,MOGWO,480,50,0.019053,0.014315
1,MOGWO,520,36,0.041048,0.030840
1,MOGWO,560,39,0.041168,0.030930
1,MOGWO,600,40,0.041598,0.031253
1,MOGWO,640,43,0.041622,0.031271
1,MOGWO,680,36,0.042898,0.032230
1,MOGWO,720,48,0.043397,0.032605
1,MOGWO,760,39,0.053166,0.039945
1,MOGWO,800,48,0.057983,0.043563
1,MOGWO,840,42,0.077983,0.058590
1,MOGWO,880,42,0.078054,0.058643
1,MOGWO,920,51,0.079535,0.059756
1,MOGWO,960,43,0.095996,0.072123
1,MOGWO,1000,50,0.097384,0.073166
1,MOGWO,1040,62,0.103613,0.077846
1,MOGWO,1080,57,0.104546,0.078547
1,MOGWO,1120,66,0.106053,0.079679
1,MOGWO,1160,73,0.109250,0.082081
1,MOGWO,1200,83,0.115133,0.086501
1,MOGWO,1240,88,0.123843,0.093045
1,MOGWO,1280,99,0.125890,0.094583
1,MOGWO,1320,90,0.140544,0.105593
1,MOGWO,1360,97,0.141534,0.106336
1,MOGWO,1400,97,0.143569,0.107865
1,MOGWO,1440,100,0.145031,0.108964
1,MOGWO,1480,80,0.149080,0.112006
1,MOGWO,1520,75,0.156815,0.117817
1,MOGWO,1560,79,0.156970,0.117934
1,MOGWO,1600,84,0.164694,0.123737
1,MOGWO,1640,96,0.168195,0.126367
1,MOGWO,1680,82,0.182650,0.137228
1,MOGWO,1720,64,0.185470,0.139346
1,MOGWO,1760,71,0.188600,0.141698
1,MOGWO,1800,78,0.188689,0.141765
1,MOGWO,1840,86,0.193120,0.145094
1,MOGWO,1880,84,0.198613,0.149221
1,MOGWO,1920,88,0.198721,0.149302
1,MOGWO,1960,80,0.199390,0.149805
1,MOGWO,2000,81,0.199486,0.149877
1,NSGA-II,40,29,0.033634,0.025270
1,NSGA-II,80,37,0.044832,0.033683
1,NSGA-II,120,35,0.047486,0.035677
1,NSGA-II,160,29,0.076830,0.057723
1,NSGA-II,200,31,0.117303,0.088132
1,NSGA-II,240,31,0.153107,0.115031
1,NSGA-II,280,29,0.179768,0.135062
1,NSGA-II,320,25,0.275776,0.207194
1,NSGA-II,360,28,0.283445,0.212956
1,NSGA-II,400,23,0.366934,0.275683
1,NSGA-II,440,19,0.383398,0.288053
1,NSGA-II,480,19,0.389711,0.292796
1,NSGA-II,520,27,0.397466,0.298622
1,NSGA-II,560,21,0.426292,0.320279
1,NSGA-II,600,23,0.432566,0.324993
1,NSGA-II,640,29,0.444563,0.334006
1,NSGA-II,680,31,0.505347,0.379675
