run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,50,0.137144,0.103038,12251
0,NSGA-II,27,0.917354,0.689222,6587
0,NSGA-III,6,1.198433,0.900401,6140
1,MOGWO,80,0.136769,0.102756,12177
1,NSGA-II,37,0.764842,0.574637,6690
1,NSGA-III,4,1.325263,0.995690,6650
2,MOGWO,91,0.214997,0.161530,11810
2,NSGA-II,25,0.672044,0.504916,6712
2,NSGA-III,5,1.264702,0.950189,6293
3,MOGWO,10,0.639237,0.480269,11227
3,NSGA-II,35,0.425660,0.319805,6748
3,NSGA-III,16,1.313876,0.987134,6303
4,MOGWO,98,0.128403,0.096471,12068
4,NSGA-II,13,0.713521,0.536079,6688
4,NSGA-III,3,1.323680,0.994500,6456
5,MOGWO,69,0.240392,0.180610,11812
5,NSGA-II,37,0.222109,0.166874,6861
5,NSGA-III,13,1.324614,0.995202,6196
6,MOGWO,51,0.502580,0.377596,11464
6,NSGA-II,22,0.993813,0.746666,6462
6,NSGA-III,17,0.735600,0.552667,6665
7,MOGWO,50,0.265916,0.199787,12315
7,NSGA-II,5,1.101977,0.827932,6377
7,NSGA-III,35,0.928879,0.697881,6527
8,MOGWO,100,0.232465,0.174655,12226
8,NSGA-II,23,0.942935,0.708441,6494
8,NSGA-III,8,1.287041,0.966973,6447
9,MOGWO,94,0.208033,0.156298,12054
9,NSGA-II,16,0.791619,0.594755,6649
9,NSGA-III,11,0.900297,0.676407,6603
