run,algorithm,makespan,energy,radar_risk
0,MOGWO,916.000000,1081.537492,621.410157
0,MOGWO,906.000000,1125.992360,1707.556048
0,MOGWO,904.000000,1157.662239,0.000000
0,MOGWO,801.000000,1303.352191,0.000000
0,MOGWO,792.000000,1318.396333,618.953944
0,MOGWO,798.000000,1308.748287,154.465947
0,MOGWO,917.000000,1024.900303,0.000000
0,MOGWO,792.000000,1320.316492,0.000000
0,MOGWO,917.000000,982.151068,467.600056
0,MOGWO,920.000000,924.628610,3471.794860
0,MOGWO,926.000000,912.369245,0.000000
0,MOGWO,925.000000,929.849041,309.169469
0,MOGWO,926.000000,882.233563,618.460507
0,MOGWO,918.000000,966.160773,4642.810907
0,MOGWO,911.000000,1099.036901,0.000000
0,MOGWO,926.000000,878.801280,4893.418045
0,MOGWO,919.000000,954.119915,2940.838463
0,MOGWO,795.000000,1254.728365,464.487997
0,MOGWO,816.000000,1246.938609,772.160320
0,MOGWO,925.000000,941.808438,0.000000
0,MOGWO,922.000000,937.722401,2492.787705
0,MOGWO,909.000000,1104.150563,154.602992
0,MOGWO,908.000000,1097.301551,618.837751
0,MOGWO,918.000000,1010.611049,0.000000
0,MOGWO,920.000000,954.672653,618.460507
0,MOGWO,919.000000,963.600368,464.865328
0,MOGWO,918.000000,998.826483,154.602992
0,MOGWO,919.000000,981.469113,155.437245
0,MOGWO,795.000000,1299.657340,309.140665
0,MOGWO,913.000000,1061.783197,1375.871461
0,MOGWO,924.000000,933.787220,308.527859
0,MOGWO,919.000000,976.966506,309.555417
0,MOGWO,923.000000,948.445957,0.000000
0,MOGWO,791.000000,1373.433337,154.224757
0,MOGWO,919.000000,986.253173,0.000000
0,MOGWO,795.000000,1310.554943,0.000000
0,MOGWO,919.000000,973.675509,310.262336
0,MOGWO,909.000000,1091.090832,1086.740195
0,MOGWO,909.000000,1110.342259,154.224757
0,MOGWO,908.000000,1113.206556,0.000000
0,MOGWO,910.000000,1108.583349,0.000000
0,MOGWO,909.000000,1090.189930,1872.362413
0,MOGWO,919.000000,944.999627,4642.810907
0,MOGWO,918.000000,995.958291,155.437245
0,MOGWO,922.000000,953.362090,308.739402
0,MOGWO,909.000000,1095.130925,778.482430
0,MOGWO,910.000000,1082.432140,154.450378
0,MOGWO,911.000000,1074.208821,1392.971046
0,MOGWO,920.000000,943.455092,1552.286998
0,MOGWO,907.000000,1119.782987,0.000000
0,NSGA-II,925.000000,599.744826,0.000000
0,NSGA-II,924.000000,683.346363,0.000000
0,NSGA-II,923.000000,687.532549,0.000000
0,NSGA-II,917.000000,711.560276,0.000000
0,NSGA-II,916.000000,725.931310,0.000000
0,NSGA-II,389.000000,772.892913,0.000000
0,NSGA-II,374.000000,821.446938,0.000000
0,NSGA-II,371.000000,826.412510,0.000000
0,NSGA-II,349.000000,858.691277,0.000000
0,NSGA-II,368.000000,817.264837,153.881342
0,NSGA-II,365.000000,775.392070,153.924867
0,NSGA-II,336.000000,842.966947,154.791567
0,NSGA-II,362.000000,817.806251,155.083884
0,NSGA-II,362.000000,815.436188,307.939779
0,NSGA-II,921.000000,677.474597,309.402915
0,NSGA-II,386.000000,751.945240,463.174348
0,NSGA-II,922.000000,573.820617,463.958971
0,NSGA-II,371.000000,768.603683,465.530204
0,NSGA-II,356.000000,830.045497,929.732894
0,NSGA-II,347.000000,768.804058,1111.749418
0,NSGA-II,920.000000,653.613280,1237.324728
0,NSGA-II,335.000000,764.308286,1242.807412
0,NSGA-II,927.000000,523.338187,1560.482803
0,NSGA-II,917.000000,680.041805,2014.834958
0,NSGA-II,928.000000,513.457098,2527.342467
0,NSGA-II,386.000000,746.261336,3618.044333
0,NSGA-II,923.000000,568.966084,5261.122920
0,NSGA-III,256.000000,639.612597,153.797125
0,NSGA-III,265.000000,634.020422,1449.567123
0,NSGA-III,270.000000,686.750315,0.000000
0,NSGA-III,264.000000,689.355839,0.000000
0,NSGA-III,270.000000,604.248913,617.729588
0,NSGA-III,280.000000,628.171608,0.000000
1,MOGWO,916.000000,1085.335380,0.000000
1,MOGWO,914.000000,1093.666816,0.000000
1,MOGWO,913.000000,1104.678604,0.000000
1,MOGWO,908.000000,1182.740059,0.000000
1,MOGWO,906.000000,1315.253274,0.000000
1,MOGWO,903.000000,1339.210164,0.000000
1,MOGWO,895.000000,1393.860548,0.000000
1,MOGWO,877.000000,1449.796895,154.061503
1,MOGWO,912.000000,1107.650275,154.099761
1,MOGWO,907.000000,1223.810538,154.224757
1,MOGWO,892.000000,1376.940194,154.365451
1,MOGWO,871.000000,1467.282329,154.372540
1,MOGWO,911.000000,1101.680388,154.465947
1,MOGWO,910.000000,1136.375293,154.465947
1,MOGWO,912.000000,1062.140816,154.791567
1,MOGWO,917.000000,1002.995985,308.673654
1,MOGWO,893.000000,1323.983192,309.167282
1,MOGWO,912.000000,1043.574527,309.540281
1,MOGWO,904.000000,1224.350611,310.171975
1,MOGWO,909.000000,1136.845482,462.188740
1,MOGWO,903.000000,1318.553377,462.250205
1,MOGWO,902.000000,1262.508507,463.872439
1,MOGWO,871.000000,1386.926596,621.025886
1,MOGWO,877.000000,1367.567011,625.046638
1,MOGWO,874.000000,1310.157866,773.894213
1,MOGWO,909.000000,1135.185878,1079.926392
1,MOGWO,868.000000,1380.001414,1085.594104
1,MOGWO,912.000000,999.325829,1086.683008
1,MOGWO,865.000000,1396.114364,1242.784453
1,MOGWO,857.000000,1372.709815,1245.504569
1,MOGWO,879.000000,1293.628812,1406.377214
1,MOGWO,911.000000,1051.204454,1562.543434
1,MOGWO,916.000000,957.166845,2040.785831
1,MOGWO,920.000000,923.706102,2146.876234
1,MOGWO,868.000000,1287.851573,2171.472655
1,MOGWO,912.000000,996.108957,2183.002373
1,MOGWO,909.000000,1124.387050,2341.392918
1,MOGWO,913.000000,987.333319,2384.026829
1,MOGWO,912.000000,995.776414,2710.816869
1,MOGWO,911.000000,1038.991760,3115.313693
1,MOGWO,911.000000,1031.376960,3587.090519
1,MOGWO,916.000000,952.673189,3806.847334
