run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,75,0.409349,0.307550,22208
0,NSGA-II,23,0.597212,0.448694,12731
0,NSGA-III,4,0.826762,0.621159,11812
1,MOGWO,81,0.199486,0.149877,24386
1,NSGA-II,31,0.869593,0.653338,12780
1,NSGA-III,11,1.181010,0.887310,12558
2,MOGWO,99,0.285289,0.214342,23973
2,NSGA-II,23,0.830486,0.623956,13153
2,NSGA-III,13,1.304338,0.979969,12254
3,MOGWO,28,0.617992,0.464307,22016
3,NSGA-II,32,0.464500,0.348986,13048
3,NSGA-III,4,1.107032,0.831729,12230
4,MOGWO,4,1.330234,0.999425,20612
4,NSGA-II,15,0.131759,0.098993,12887
4,NSGA-III,10,0.588281,0.441984,12373
5,MOGWO,4,1.138405,0.855301,21584
5,NSGA-II,26,0.336221,0.252608,13376
5,NSGA-III,6,1.318239,0.990412,11989
6,MOGWO,26,0.703531,0.528574,21403
6,NSGA-II,11,0.716916,0.538629,12357
6,NSGA-III,22,0.605414,0.454857,13014
7,MOGWO,18,0.218991,0.164531,23271
7,NSGA-II,16,1.014905,0.762513,12696
7,NSGA-III,51,0.836890,0.628768,13072
8,MOGWO,70,0.322687,0.242439,23423
8,NSGA-II,20,0.940057,0.706279,13137
8,NSGA-III,23,1.180949,0.887264,12619
9,MOGWO,3,1.297668,0.974957,21165
9,NSGA-II,35,0.488546,0.367052,12786
9,NSGA-III,33,0.357929,0.268917,12963
