run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,NSGA-III,46,30,0.222325,0.167036
0,NSGA-III,48,34,0.222598,0.167241
0,NSGA-III,50,36,0.222795,0.167389
0,NSGA-III,52,41,0.248876,0.186984
0,NSGA-III,54,26,0.255068,0.191636
0,NSGA-III,56,25,0.256226,0.192506
0,NSGA-III,58,27,0.256446,0.192672
0,NSGA-III,60,25,0.283058,0.212666
0,NSGA-III,62,14,0.298096,0.223964
0,NSGA-III,64,17,0.298144,0.224000
0,NSGA-III,66,18,0.310463,0.233255
0,NSGA-III,68,22,0.313473,0.235517
0,NSGA-III,70,24,0.361937,0.271929
0,NSGA-III,72,26,0.364600,0.273929
0,NSGA-III,74,16,0.380073,0.285554
0,NSGA-III,76,18,0.437539,0.328730
0,NSGA-III,78,21,0.484361,0.363908
0,NSGA-III,80,26,0.491999,0.369646
0,NSGA-III,82,28,0.534506,0.401582
0,NSGA-III,84,15,0.582260,0.437460
0,NSGA-III,86,10,0.633233,0.475758
0,NSGA-III,88,6,0.682839,0.513027
0,NSGA-III,90,8,1.207508,0.907218
0,NSGA-III,92,10,1.222822,0.918724
0,NSGA-III,94,9,1.239015,0.930891
0,NSGA-III,96,11,1.239495,0.931251
0,NSGA-III,98,13,1.240613,0.932091
0,NSGA-III,100,16,1.251545,0.940304
1,MOGWO,2,14,0.041925,0.031499
1,MOGWO,4,23,0.043559,0.032726
1,MOGWO,6,28,0.044499,0.033433
1,MOGWO,8,30,0.044928,0.033755
1,MOGWO,10,29,0.046753,0.035126
1,MOGWO,12,28,0.047099,0.035386
1,MOGWO,14,25,0.048861,0.036710
1,MOGWO,16,25,0.055310,0.041555
1,MOGWO,18,18,0.081577,0.061290
1,MOGWO,20,18,0.081797,0.061455
1,MOGWO,22,20,0.081814,0.061468
1,MOGWO,24,20,0.082997,0.062357
1,MOGWO,26,20,0.083999,0.063109
1,MOGWO,28,22,0.086713,0.065149
1,MOGWO,30,29,0.087136,0.065466
1,MOGWO,32,29,0.087807,0.065971
1,MOGWO,34,20,0.091589,0.068812
1,MOGWO,36,35,0.093650,0.070361
1,MOGWO,38,42,0.096084,0.072190
1,MOGWO,40,41,0.105805,0.079493
1,MOGWO,42,44,0.105904,0.079567
1,MOGWO,44,49,0.116250,0.087340
1,MOGWO,46,54,0.116465,0.087502
1,MOGWO,48,51,0.132322,0.099415
1,MOGWO,50,68,0.138305,0.103911
1,MOGWO,52,68,0.140976,0.105917
1,MOGWO,54,72,0.141278,0.106144
1,MOGWO,56,71,0.151500,0.113824
1,MOGWO,58,77,0.151668,0.113950
1,MOGWO,60,57,0.157632,0.118431
1,MOGWO,62,63,0.162217,0.121876
1,MOGWO,64,62,0.165811,0.124576
1,MOGWO,66,63,0.167001,0.125471
1,MOGWO,68,65,0.173178,0.130112
1,MOGWO,70,66,0.174327,0.130974
1,MOGWO,72,76,0.175221,0.131646
1,MOGWO,74,80,0.191949,0.144214
1,MOGWO,76,77,0.193148,0.145115
1,MOGWO,78,72,0.193495,0.145376
1,MOGWO,80,77,0.194580,0.146191
1,MOGWO,82,73,0.196210,0.147416
1,MOGWO,84,80,0.197389,0.148301
1,MOGWO,86,80,0.197389,0.148301
1,MOGWO,88,79,0.197890,0.148678
1,MOGWO,90,76,0.200030,0.150286
1,MOGWO,92,67,0.200755,0.150830
1,MOGWO,94,70,0.202680,0.152276
1,MOGWO,96,75,0.202930,0.152464
1,MOGWO,98,76,0.203001,0.152518
1,MOGWO,100,80,0.203044,0.152550
1,NSGA-II,2,22,0.023810,0.017889
1,NSGA-II,4,35,0.039821,0.029918
1,NSGA-II,6,27,0.048705,0.036593
1,NSGA-II,8,33,0.062937,0.047285
1,NSGA-II,10,41,0.069265,0.052040
1,NSGA-II,12,37,0.071708,0.053875
1,NSGA-II,14,31,0.082337,0.061861
1,NSGA-II,16,30,0.085536,0.064264
1,NSGA-II,18,26,0.087815,0.065976
1,NSGA-II,20,30,0.090213,0.067779
