run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
2,MOGWO,490,23,0.852945,0.640830
2,MOGWO,500,23,0.852945,0.640830
2,NSGA-II,10,20,0.000000,0.000000
2,NSGA-II,20,22,0.000000,0.000000
2,NSGA-II,30,30,0.000000,0.000000
2,NSGA-II,40,28,0.000000,0.000000
2,NSGA-II,50,29,0.000000,0.000000
2,NSGA-II,60,20,0.000000,0.000000
2,NSGA-II,70,18,0.000000,0.000000
2,NSGA-II,80,28,0.000000,0.000000
2,NSGA-II,90,20,0.000000,0.000000
2,NSGA-II,100,27,0.000000,0.000000
2,NSGA-II,110,21,0.000000,0.000000
2,NSGA-II,120,20,0.000000,0.000000
2,NSGA-II,130,10,0.009617,0.007226
2,NSGA-II,140,13,0.009617,0.007226
2,NSGA-II,150,20,0.011328,0.008511
2,NSGA-II,160,28,0.029225,0.021957
2,NSGA-II,170,15,0.053591,0.040264
2,NSGA-II,180,17,0.102040,0.076665
2,NSGA-II,190,11,0.135628,0.101899
2,NSGA-II,200,13,0.136473,0.102534
2,NSGA-II,210,15,0.137893,0.103601
2,NSGA-II,220,11,0.182371,0.137018
2,NSGA-II,230,17,0.203300,0.152742
2,NSGA-II,240,8,0.385143,0.289364
2,NSGA-II,250,7,0.385498,0.289631
2,NSGA-II,260,7,0.385498,0.289631
2,NSGA-II,270,9,0.387715,0.291296
2,NSGA-II,280,9,0.387715,0.291296
2,NSGA-II,290,11,0.419606,0.315256
2,NSGA-II,300,11,0.419606,0.315256
2,NSGA-II,310,12,0.427977,0.321546
2,NSGA-II,320,11,0.429287,0.322529
2,NSGA-II,330,14,0.431865,0.324467
2,NSGA-II,340,16,0.442103,0.332159
2,NSGA-II,350,16,0.522975,0.392919
2,NSGA-II,360,18,0.525015,0.394451
2,NSGA-II,370,18,0.535897,0.402628
2,NSGA-II,380,14,0.736585,0.553407
2,NSGA-II,390,16,0.737654,0.554210
2,NSGA-II,400,12,0.870602,0.654096
2,NSGA-II,410,12,0.870602,0.654096
2,NSGA-II,420,7,0.885114,0.665000
2,NSGA-II,430,10,0.887324,0.666659
2,NSGA-II,440,13,0.888008,0.667173
2,NSGA-II,450,11,0.897916,0.674617
2,NSGA-II,460,11,0.897916,0.674617
2,NSGA-II,470,11,0.897916,0.674617
2,NSGA-II,480,10,0.903311,0.678671
2,NSGA-II,490,11,0.907273,0.681647
2,NSGA-II,500,12,0.907340,0.681698
2,NSGA-III,10,28,0.000000,0.000000
