run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,50,0.137144,0.103038,12782
0,NSGA-II,27,0.917354,0.689222,6800
0,NSGA-III,6,1.198433,0.900401,9196
1,MOGWO,90,0.232143,0.174413,13141
1,NSGA-II,5,1.311852,0.985614,6699
1,NSGA-III,40,0.562724,0.422783,7266
2,MOGWO,13,0.947273,0.711700,11658
2,NSGA-II,14,0.541916,0.407150,7177
2,NSGA-III,22,0.644113,0.483932,6527
3,MOGWO,62,0.438336,0.329328,12173
3,NSGA-II,56,0.183362,0.137762,7224
3,NSGA-III,15,1.248351,0.937904,7167
4,MOGWO,3,1.329494,0.998869,10884
4,NSGA-II,16,0.377638,0.283725,7245
4,NSGA-III,6,0.660972,0.496598,6473
5,MOGWO,31,0.097355,0.073144,12348
5,NSGA-II,2,1.328791,0.998340,6507
5,NSGA-III,4,0.951065,0.714549,6983
6,MOGWO,93,0.194914,0.146442,12567
6,NSGA-II,20,1.113710,0.836747,6636
6,NSGA-III,12,1.139528,0.856144,6907
7,MOGWO,100,0.142963,0.107410,12621
7,NSGA-II,11,1.294230,0.972374,6693
7,NSGA-III,2,0.918819,0.690322,7139
8,MOGWO,93,0.154391,0.115996,13205
8,NSGA-II,18,1.014075,0.761890,7081
8,NSGA-III,36,0.535220,0.402119,7109
9,MOGWO,19,1.327731,0.997544,10894
9,NSGA-II,10,0.177119,0.133072,7001
9,NSGA-III,12,0.595942,0.447740,6649
