run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,MOGWO,20,35,0.000000,0.000000
0,MOGWO,40,37,0.000000,0.000000
0,MOGWO,60,39,0.000000,0.000000
0,MOGWO,80,41,0.000000,0.000000
0,MOGWO,100,37,0.000000,0.000000
0,MOGWO,120,26,0.000000,0.000000
0,MOGWO,140,29,0.000000,0.000000
0,MOGWO,160,34,0.000000,0.000000
0,MOGWO,180,38,0.000705,0.000530
0,MOGWO,200,40,0.000705,0.000530
0,MOGWO,220,41,0.003270,0.002457
0,MOGWO,240,30,0.003270,0.002457
0,MOGWO,260,31,0.003270,0.002457
0,MOGWO,280,35,0.003270,0.002457
0,MOGWO,300,37,0.003278,0.002463
0,MOGWO,320,37,0.011357,0.008532
0,MOGWO,340,45,0.013071,0.009821
0,MOGWO,360,40,0.027042,0.020317
0,MOGWO,380,33,0.027972,0.021016
0,MOGWO,400,48,0.029819,0.022403
0,MOGWO,420,31,0.039666,0.029801
0,MOGWO,440,46,0.040405,0.030357
0,MOGWO,460,51,0.042388,0.031847
0,MOGWO,480,68,0.047418,0.035626
0,MOGWO,500,53,0.059719,0.044867
0,MOGWO,520,47,0.061473,0.046186
0,MOGWO,540,40,0.070202,0.052744
0,MOGWO,560,47,0.071147,0.053454
0,MOGWO,580,47,0.073216,0.055008
0,MOGWO,600,48,0.075257,0.056542
0,MOGWO,620,54,0.076552,0.057515
0,MOGWO,640,55,0.079132,0.059453
0,MOGWO,660,56,0.082801,0.062210
0,MOGWO,680,50,0.090256,0.067810
0,MOGWO,700,47,0.093338,0.070126
0,MOGWO,720,62,0.094835,0.071251
0,MOGWO,740,43,0.100809,0.075739
0,MOGWO,760,40,0.104101,0.078213
0,MOGWO,780,39,0.108194,0.081288
0,MOGWO,800,33,0.109517,0.082282
0,MOGWO,820,33,0.113738,0.085453
0,MOGWO,840,39,0.113919,0.085589
0,MOGWO,860,39,0.114857,0.086293
0,MOGWO,880,29,0.118704,0.089184
0,MOGWO,900,32,0.123958,0.093131
0,MOGWO,920,38,0.127991,0.096161
0,MOGWO,940,41,0.136577,0.102612
