run,algorithm,front_size,hypervolume,hypervolume_ratio,time_ms
0,MOGWO,66,0.151114,0.113534,1574
0,NSGA-II,45,0.181208,0.136144,873
0,NSGA-III,16,1.251545,0.940304,784
1,MOGWO,80,0.203044,0.152550,1439
1,NSGA-II,34,0.523871,0.393592,744
1,NSGA-III,36,0.616824,0.463429,745
2,MOGWO,56,0.228852,0.171940,1252
2,NSGA-II,27,0.379253,0.284938,730
2,NSGA-III,8,0.976173,0.733413,775
3,MOGWO,43,0.964618,0.724731,1295
3,NSGA-II,33,0.680122,0.510986,742
3,NSGA-III,40,0.784174,0.589161,784
4,MOGWO,58,0.162892,0.122383,1776
4,NSGA-II,39,0.687165,0.516277,754
4,NSGA-III,18,1.179195,0.885947,744
5,MOGWO,21,0.165393,0.124263,1254
5,NSGA-II,12,0.673137,0.505737,784
5,NSGA-III,22,0.678156,0.509509,743
6,MOGWO,61,0.214195,0.160928,1282
6,NSGA-II,20,0.469454,0.352708,723
6,NSGA-III,24,0.407422,0.306102,737
7,MOGWO,27,0.068620,0.051555,1285
7,NSGA-II,2,1.270420,0.954485,729
7,NSGA-III,19,0.472987,0.355362,724
8,MOGWO,70,0.162506,0.122093,1314
8,NSGA-II,45,0.728616,0.547420,761
8,NSGA-III,23,0.177470,0.133336,727
9,MOGWO,31,0.242611,0.182278,1289
9,NSGA-II,35,0.223616,0.168006,732
9,NSGA-III,28,0.531058,0.398992,744
